IndividualID	Gender	Population
NA12342	1	CEU
NA12347	1	CEU
NA12348	2	CEU
NA12383	2	CEU
NA12399	1	CEU
NA12400	2	CEU
NA12413	1	CEU
NA12489	2	CEU
NA12546	1	CEU
NA12716	1	CEU
NA12717	2	CEU
NA12718	2	CEU
NA12748	1	CEU
NA12749	2	CEU
NA12750	1	CEU
NA12751	2	CEU
NA12761	2	CEU
NA12763	2	CEU
NA12775	1	CEU
NA12777	1	CEU
NA12778	2	CEU
NA12812	1	CEU
NA12814	1	CEU
NA12815	2	CEU
NA12827	1	CEU
NA12829	1	CEU
NA12830	2	CEU
NA12842	1	CEU
NA12843	2	CEU
NA12872	1	CEU
NA12873	2	CEU
NA12874	1	CEU
NA12889	1	CEU
NA12890	2	CEU
NA18486	1	YRI
NA18487	1	YRI
NA18489	2	YRI
NA18498	1	YRI
NA18499	2	YRI
NA18501	1	YRI
NA18502	2	YRI
NA18504	1	YRI
NA18505	2	YRI
NA18507	1	YRI
NA18508	2	YRI
NA18510	1	YRI
NA18511	2	YRI
NA18516	1	YRI
NA18517	2	YRI
NA18519	1	YRI
NA18520	2	YRI
NA18522	1	YRI
NA18523	2	YRI
NA18525	2	CHB
NA18526	2	CHB
NA18527	2	CHB
NA18528	2	CHB
NA18530	1	CHB
NA18532	2	CHB
NA18534	1	CHB
NA18535	2	CHB
NA18536	1	CHB
NA18537	2	CHB
NA18538	2	CHB
NA18539	2	CHB
NA18541	2	CHB
NA18542	2	CHB
NA18543	1	CHB
NA18544	1	CHB
NA18545	2	CHB
NA18546	1	CHB
NA18547	2	CHB
NA18548	1	CHB
NA18549	1	CHB
NA18550	2	CHB
NA18552	2	CHB
NA18553	2	CHB
NA18555	2	CHB
NA18557	1	CHB
NA18558	1	CHB
NA18559	1	CHB
NA18560	2	CHB
NA18561	1	CHB
NA18562	1	CHB
NA18563	1	CHB
NA18564	2	CHB
NA18565	2	CHB
NA18566	2	CHB
NA18567	2	CHB
NA18570	2	CHB
NA18571	2	CHB
NA18572	1	CHB
NA18573	2	CHB
NA18574	2	CHB
NA18576	2	CHB
NA18577	2	CHB
