IndividualID	Gender	Population
HG02179	2	CDX
HG02180	2	CDX
HG02181	2	CDX
HG02182	2	CDX
HG02184	2	CDX
HG02185	2	CDX
HG02186	2	CDX
HG02187	2	CDX
HG02188	2	CDX
HG02189	2	CDX
HG02190	2	CDX
HG02250	1	CDX
HG02351	1	CDX
HG02353	1	CDX
HG02355	1	CDX
HG02356	1	CDX
HG02358	1	CDX
HG02360	1	CDX
HG02363	1	CDX
HG02364	1	CDX
HG02367	1	CDX
HG02373	1	CDX
HG02374	1	CDX
HG02375	1	CDX
HG02377	1	CDX
HG02379	1	CDX
HG02380	1	CDX
HG02381	1	CDX
HG02382	1	CDX
HG02383	1	CDX
HG02384	1	CDX
HG02385	1	CDX
HG02386	1	CDX
HG02387	1	CDX
HG02388	1	CDX
HG02389	1	CDX
HG02390	1	CDX
HG02391	1	CDX
HG02392	1	CDX
HG02394	1	CDX
HG02395	1	CDX
HG02396	1	CDX
HG02397	1	CDX
HG02398	1	CDX
HG02399	1	CDX
HG02401	1	CDX
HG02402	1	CDX
HG02405	1	CDX
HG02406	1	CDX
HG02407	1	CDX
HG02408	1	CDX
HG02409	1	CDX
HG02410	1	CDX
NA06984	1	CEU
NA06989	2	CEU
NA12329	2	CEU
NA12344	1	CEU
NA12347	1	CEU
NA12348	2	CEU
NA06986	1	CEU
NA06995	1	CEU
NA06997	2	CEU
NA07037	2	CEU
NA07045	2	CEU
NA07435	1	CEU
NA07014	2	CEU
NA07031	2	CEU
NA07051	1	CEU
NA12335	1	CEU
NA12336	2	CEU
NA12340	1	CEU
NA12341	2	CEU
NA12342	1	CEU
NA12343	2	CEU
NA07340	2	CEU
NA10846	1	CEU
NA10847	2	CEU
NA12144	1	CEU
NA12145	2	CEU
NA12146	1	CEU
NA12239	2	CEU
NA06994	1	CEU
NA07000	2	CEU
NA07019	2	CEU
NA07022	1	CEU
NA07029	1	CEU
NA07056	2	CEU
NA06985	2	CEU
NA06991	2	CEU
NA06993	1	CEU
NA07034	1	CEU
NA07048	1	CEU
NA07055	2	CEU
NA10850	2	CEU
NA10851	1	CEU
NA12056	1	CEU
NA12057	2	CEU
NA12058	2	CEU
NA07345	2	CEU
NA07346	2	CEU
NA07347	1	CEU
NA07348	2	CEU
NA07349	1	CEU
NA07357	1	CEU
NA10852	2	CEU
NA10857	1	CEU
NA12043	1	CEU
NA12044	2	CEU
NA12045	1	CEU
NA12046	2	CEU
NA10859	2	CEU
NA11881	1	CEU
NA11882	2	CEU
NA10853	1	CEU
NA10854	2	CEU
NA11839	1	CEU
NA11840	2	CEU
NA11843	1	CEU
NA10855	2	CEU
NA10856	1	CEU
NA11829	1	CEU
NA11830	2	CEU
NA11831	1	CEU
NA11832	2	CEU
NA12375	1	CEU
NA12376	2	CEU
NA12383	2	CEU
NA12489	2	CEU
NA12546	1	CEU
NA12386	2	CEU
NA12399	1	CEU
NA12400	2	CEU
NA12413	1	CEU
NA12414	2	CEU
NA12485	1	CEU
NA12707	1	CEU
NA12708	2	CEU
NA12716	1	CEU
NA12717	2	CEU
NA12718	2	CEU
NA10860	1	CEU
NA10861	2	CEU
NA11992	1	CEU
NA11993	2	CEU
NA11994	1	CEU
NA11995	2	CEU
NA10863	2	CEU
NA12234	2	CEU
NA12264	1	CEU
NA10864	2	CEU
NA10865	1	CEU
NA11891	1	CEU
NA11892	2	CEU
NA11893	1	CEU
NA11894	2	CEU
NA10830	1	CEU
NA10831	2	CEU
NA12154	1	CEU
NA12155	1	CEU
NA12156	2	CEU
NA12236	2	CEU
NA10835	1	CEU
NA12248	1	CEU
NA12249	2	CEU
NA10836	2	CEU
NA10837	1	CEU
NA12272	1	CEU
NA12273	2	CEU
NA12274	1	CEU
NA12275	2	CEU
NA10838	1	CEU
NA10839	2	CEU
NA12003	1	CEU
NA12004	2	CEU
NA12005	1	CEU
NA12006	2	CEU
NA10840	2	CEU
NA12286	1	CEU
NA12287	2	CEU
NA12282	1	CEU
NA12283	2	CEU
NA10842	1	CEU
NA10843	2	CEU
NA11917	1	CEU
NA11918	2	CEU
NA11919	1	CEU
NA11920	2	CEU
NA10845	1	CEU
NA11930	1	CEU
NA11931	2	CEU
NA11932	1	CEU
NA11933	2	CEU
NA12739	1	CEU
NA12740	2	CEU
NA12748	1	CEU
NA12749	2	CEU
NA12750	1	CEU
NA12751	2	CEU
NA12752	1	CEU
NA12753	2	CEU
